Opening,Color,Main Line,[1200] Num. Games,[1200] %Win-W,[1200] %Draw,[1200] %Win-B,[1800] Num. Games,[1800] %Win-W,[1800] %Draw,[1800] %Win-B,[MASTERS] Num. Games,[MASTERS] %Win-W,[MASTERS] %Draw,[MASTERS] %Win-B,[1200] Prev.,[1200] Inv.Prev.,[1200] Att.,[1200] Inv.Att.,[1800] Prev.,[1800] Inv.Prev.,[1800] Att.,[1800] Inv.Att.,[MASTERS] Prev.,[MASTERS] Inv.Prev.,[MASTERS] Att.,[MASTERS] Inv.Att.
King's Pawn Game,White,1. e4,1395946,0.503,0.039,0.458,1516185,0.492,0.045,0.463,354961,0.475,0.086,0.439,0.662,2,1,1,0.603,2,1,1,0.463,2,1,1
Open Game,Black,1. e4 e5,794192,0.511,0.039,0.45,493981,0.506,0.044,0.45,65521,0.475,0.089,0.436,0.569,2,0.662,2,0.326,3,0.603,2,0.185,5,0.463,2
Italian Game,White,1. e4 e5 2. Nf3 Nc6 3. Bc4,116499,0.52,0.035,0.445,93891,0.501,0.041,0.458,12583,0.469,0.082,0.449,0.292,3,0.351,3,0.266,4,0.223,4,0.175,6,0.151,7
Ruy Lopez,White,1. e4 e5 2. Nf3 Nc6 3. Bb5,75229,0.515,0.041,0.444,64378,0.509,0.046,0.445,18496,0.469,0.096,0.435,0.161,6,0.351,3,0.173,6,0.223,4,0.252,4,0.151,7
Scotch Game,White,1. e4 e5 2. Nf3 Nc6 3. d4,50302,0.524,0.043,0.433,42703,0.515,0.048,0.437,7173,0.475,0.095,0.43,0.15,7,0.351,3,0.174,6,0.225,4,0.152,7,0.155,6
Scotch Gambit,White,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4,2131,0.536,0.024,0.44,10583,0.537,0.04,0.424,2595,0.471,0.097,0.432,0.011,91,0.201,5,0.041,24,0.202,5,0.052,19,0.15,7
Ponziani Opening,White,1. e4 e5 2. Nf3 Nc6 3. c3,7740,0.495,0.041,0.464,6246,0.512,0.043,0.445,638,0.472,0.075,0.453,0.021,47,0.351,3,0.022,45,0.225,4,0.008,131,0.153,7
Center Game,White,1. e4 e5 2. d4 exd4 3. Qxd4,20854,0.439,0.046,0.515,5296,0.505,0.043,0.452,681,0.482,0.076,0.442,0.033,30,0.299,3,0.008,127,0.265,4,0.006,173,0.154,6
Danish Gambit,White,1. e4 e5 2. d4 exd4 3. c3,5893,0.549,0.026,0.425,12173,0.55,0.039,0.411,603,0.448,0.066,0.486,0.01,103,0.299,3,0.018,54,0.265,4,0.005,184,0.154,6
Vienna Game,White,1. e4 e5 2. Nc3,30292,0.492,0.043,0.465,19295,0.516,0.044,0.44,5436,0.493,0.09,0.417,0.026,39,0.569,2,0.024,42,0.326,3,0.04,25,0.185,5
Bishop's Opening,White,1. e4 e5 2. Bc4,74023,0.521,0.036,0.443,44895,0.503,0.045,0.452,2382,0.498,0.068,0.434,0.062,16,0.569,2,0.055,18,0.326,3,0.017,60,0.185,5
King's Gambit,White,1. e4 e5 2. f4,26698,0.537,0.03,0.433,56373,0.505,0.035,0.46,2866,0.462,0.064,0.475,0.023,44,0.569,2,0.069,14,0.326,3,0.02,50,0.185,5
Four Knight's Game,Black,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6,35396,0.502,0.043,0.456,14747,0.505,0.047,0.448,4808,0.474,0.099,0.427,0.904,1,0.165,6,0.544,2,0.139,7,0.467,2,0.095,10
Halloween Gambit,White,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Nxe5,1040,0.529,0.035,0.436,654,0.543,0.035,0.422,222,0.5,0.045,0.455,0.015,68,0.206,5,0.013,76,0.125,8,0.025,41,0.147,7
Petrov's Defense,Black,1. e4 e5 2. Nf3 Nf6,49935,0.517,0.036,0.447,28404,0.497,0.047,0.457,5824,0.468,0.107,0.424,0.057,17,0.412,2,0.029,35,0.394,3,0.021,48,0.367,3
Stafford Gambit,Black,1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6,1210,0.468,0.023,0.509,822,0.489,0.039,0.472,442,0.505,0.081,0.414,0.004,238,0.138,7,0.002,410,0.133,7,0.003,347,0.2,5
Philidor Defense,Black,1. e4 e5 2. Nf3 d6,83138,0.511,0.041,0.448,57507,0.512,0.046,0.442,2037,0.489,0.07,0.441,0.128,8,0.417,2,0.083,12,0.397,3,0.013,79,0.369,3
Elephant Gambit,Black,1. e4 e5 2. Nf3 d5,9124,0.524,0.035,0.441,5855,0.468,0.041,0.491,1606,0.458,0.076,0.466,0.016,63,0.414,2,0.006,168,0.396,3,0.006,174,0.367,3
Latvian Gambit,Black,1. e4 e5 2. Nf3 f5,2961,0.51,0.026,0.465,4299,0.473,0.04,0.488,608,0.53,0.062,0.408,0.003,293,0.412,2,0.004,236,0.394,3,0.002,450,0.367,3
Sicilian Defense,Black,1. e4 c5,186120,0.484,0.037,0.48,404359,0.485,0.045,0.471,132778,0.477,0.085,0.439,0.133,8,0.662,2,0.267,4,0.603,2,0.374,3,0.463,2
Scandinavian Defense,Black,1. e4 d5,130330,0.5,0.042,0.458,124152,0.484,0.047,0.469,17667,0.47,0.091,0.44,0.093,11,0.662,2,0.082,12,0.603,2,0.05,20,0.463,2
Caro-Kann Defense,Black,1. e4 c6,34996,0.487,0.036,0.477,105440,0.472,0.05,0.478,43105,0.467,0.092,0.441,0.025,40,0.662,2,0.07,14,0.603,2,0.121,8,0.463,2
French Defense,Black,1. e4 e6,110003,0.486,0.038,0.476,188897,0.481,0.047,0.472,43305,0.476,0.088,0.436,0.079,13,0.662,2,0.125,8,0.603,2,0.122,8,0.463,2
Alekhine's Defense,Black,1. e4 Nf6,18160,0.518,0.039,0.443,27564,0.468,0.046,0.486,11875,0.467,0.086,0.447,0.013,77,0.662,2,0.018,56,0.603,2,0.033,30,0.463,2
Pirc Defense,Black,1. e4 d6,24738,0.504,0.041,0.455,54115,0.486,0.043,0.471,17246,0.483,0.08,0.437,0.018,56,0.662,2,0.036,28,0.603,2,0.049,20,0.463,2
Modern Defense,Black,1. e4 g6,31767,0.488,0.04,0.472,50100,0.497,0.045,0.458,14257,0.466,0.077,0.456,0.023,43,0.662,2,0.033,30,0.603,2,0.04,25,0.463,2
Hippopotamus Defense,White,[SYSTEM],,,,,,,,,,,,,,,,,,,,,,,,
Owen's Defense,Black,1. e4 b6,21893,0.493,0.039,0.467,29177,0.509,0.041,0.45,1962,0.495,0.067,0.438,0.016,62,0.662,2,0.019,53,0.603,2,0.006,167,0.463,2
Nimzowitsch Defense,Black,1. e4 Nc6,28303,0.507,0.036,0.457,24363,0.484,0.04,0.477,5282,0.484,0.073,0.443,0.02,50,0.662,2,0.016,62,0.603,2,0.015,67,0.463,2
Queen's Pawn Game,White,1. d4,442856,0.508,0.039,0.453,645986,0.5,0.048,0.452,257640,0.48,0.091,0.429,0.21,5,1,1,0.257,4,1,1,0.336,3,1,1
Closed Game,Black,1. d4 d5,246136,0.514,0.04,0.447,260144,0.509,0.051,0.441,69061,0.481,0.098,0.422,0.556,2,0.21,5,0.403,2,0.257,4,0.268,4,0.336,3
Queen's Gambit,White,1. d4 d5 2. c4,88688,0.53,0.039,0.431,127440,0.509,0.05,0.441,35848,0.483,0.098,0.419,0.077,13,0.556,2,0.127,8,0.403,2,0.175,6,0.268,4
Queen's Gambit Accepted,Black,1. d4 d5 2. c4 dxc4,35804,0.546,0.039,0.415,22235,0.534,0.046,0.42,3961,0.463,0.112,0.425,0.308,3,0.077,13,0.103,10,0.127,8,0.033,30,0.175,6
Queen's Gambit Declined,Black,1. d4 d5 2. c4 e6,21818,0.511,0.037,0.452,54013,0.502,0.051,0.447,16998,0.488,0.096,0.415,0.189,5,0.08,12,0.234,4,0.131,8,0.229,4,0.178,6
Slav Defense,Black,1. d4 d5 2. c4 c6,12203,0.518,0.041,0.442,39534,0.5,0.053,0.447,15633,0.492,0.097,0.41,0.097,10,0.08,12,0.171,6,0.132,8,0.197,5,0.182,5
Albin Countergambit,Black,1. d4 d5 2. c4 e5,2315,0.508,0.034,0.458,6395,0.473,0.044,0.483,1267,0.463,0.084,0.453,0.032,31,0.077,13,0.024,42,0.127,8,0.009,107,0.174,6
Chigorin Defense,Black,1. d4 d5 2. c4 Nc6,3234,0.534,0.036,0.429,2965,0.514,0.044,0.442,1073,0.494,0.082,0.424,0.03,34,0.079,13,0.015,67,0.131,8,0.011,94,0.182,5
Baltic Defense,Black,1. d4 d5 2. c4 Bf5,1848,0.533,0.032,0.435,4386,0.528,0.05,0.422,438,0.436,0.094,0.47,0.015,67,0.077,13,0.016,64,0.127,8,0.003,311,0.174,6
Blackmar-Diemer Gambit,White,1. d4 d5 2. e4 dxe4 3. Nc3,4296,0.506,0.035,0.459,3587,0.529,0.038,0.433,364,0.445,0.082,0.473,0.013,78,0.341,3,0.009,108,0.274,4,0.006,161,0.192,5
Indian Defense,Black,1. d4 Nf6,54060,0.492,0.037,0.471,171259,0.489,0.049,0.463,124838,0.478,0.093,0.429,0.122,8,0.21,5,0.265,4,0.257,4,0.485,2,0.336,3
King's Indian Defense,Black,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7,3223,0.497,0.036,0.467,19965,0.489,0.045,0.466,11566,0.484,0.085,0.431,0.106,9,0.047,21,0.221,5,0.117,9,0.302,3,0.144,7
Grunfeld Defense,Black,1. d4 Nf6 2. c4 g6 3. Nc3 d5,434,0.468,0.048,0.484,6361,0.448,0.059,0.493,5707,0.477,0.103,0.42,0.01,96,0.047,21,0.051,19,0.117,9,0.128,8,0.14,7
Nimzo-Indian Defense,Black,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4,1460,0.501,0.036,0.463,11398,0.487,0.049,0.464,9883,0.467,0.093,0.44,0.035,28,0.043,23,0.104,10,0.097,10,0.253,4,0.093,11
Queen's Indian Defense,Black,1. d4 Nf6 2. c4 e6 3. Nf3 b6,122,0.443,0.073,0.484,1367,0.517,0.049,0.434,3635,0.482,0.102,0.417,0.011,93,0.022,45,0.061,16,0.038,26,0.196,5,0.098,10
Bogo-Indian Defense,Black,1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+,229,0.498,0.047,0.454,1399,0.512,0.045,0.443,2721,0.485,0.093,0.422,0.024,42,0.02,50,0.07,14,0.037,27,0.124,8,0.098,10
Catalan Opening,White,1. d4 Nf6 2. c4 e6 3. g3,78,0.577,0.038,0.385,660,0.52,0.048,0.432,3381,0.497,0.099,0.404,0.002,503,0.041,25,0.005,204,0.095,11,0.038,26,0.21,5
Benoni Defense,Black,1. d4 Nf6 2. c4 c5,693,0.469,0.037,0.495,9475,0.454,0.045,0.5,9483,0.469,0.088,0.443,0.01,105,0.075,13,0.052,19,0.133,8,0.126,8,0.167,6
Budapest Gambit,Black,1. d4 Nf6 2. c4 e5,1357,0.48,0.023,0.498,10359,0.473,0.046,0.481,2063,0.503,0.082,0.415,0.011,88,0.075,13,0.049,21,0.133,8,0.022,45,0.167,6
Trompowsky Attack,White,1. d4 Nf6 2. Bg5,1999,0.487,0.036,0.478,6684,0.503,0.044,0.453,9849,0.49,0.091,0.419,0.008,129,0.122,8,0.01,100,0.265,4,0.027,38,0.485,2
Dutch Defense,Black,1. d4 f5,6507,0.516,0.038,0.446,16136,0.497,0.044,0.459,6349,0.469,0.08,0.451,0.015,67,0.21,5,0.025,40,0.257,4,0.025,40,0.336,3
Staunton Gambit,White,1. d4 f5 2. e4,116,0.491,0.017,0.491,667,0.574,0.031,0.394,559,0.451,0.066,0.483,0.004,265,0.015,67,0.011,95,0.025,40,0.03,34,0.025,40
Englund Gambit,Black,1. d4 e5,19558,0.497,0.038,0.465,18457,0.47,0.043,0.487,2241,0.502,0.066,0.432,0.044,23,0.21,5,0.029,34,0.257,4,0.009,111,0.336,3
English Defense,Black,1. d4 b6,7379,0.496,0.037,0.467,11393,0.508,0.045,0.447,1326,0.504,0.072,0.424,0.017,59,0.21,5,0.018,56,0.257,4,0.005,200,0.336,3
London System,White,1. d4 d5 2. Nf3 Nf6 3. Bf4,4131,0.525,0.038,0.437,9968,0.504,0.056,0.44,4305,0.47,0.101,0.429,0.028,36,0.151,7,0.043,23,0.187,5,0.051,20,0.251,4
Jobava-London System,White,1. d4 d5 2. Nc3 Nf6 3. Bf4,4574,0.546,0.037,0.416,2803,0.488,0.053,0.459,3256,0.504,0.09,0.406,0.02,49,0.288,3,0.01,100,0.243,4,0.022,46,0.409,2
Colle System,White,1. d4 d5 2. Nf3 Nf6 3. e3,4707,0.507,0.035,0.458,7374,0.494,0.056,0.45,2228,0.478,0.103,0.419,0.032,31,0.16,6,0.032,31,0.196,5,0.026,38,0.251,4
Colle-Zukertort System,White,1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. Bd3 c5 5. b3,6,0.667,0.0,0.333,51,0.549,0.059,0.392,25,0.44,0.0,0.56,0.001,1489,0.004,238,0.001,828,0.017,59,0.002,481,0.016,64
Torre Attack,White,1. d4 Nf6 2. Nf3 e6 3. Bg5,1530,0.507,0.039,0.454,6265,0.506,0.051,0.443,4840,0.46,0.103,0.437,0.03,33,0.221,5,0.06,17,0.367,3,0.083,12,0.574,2
Stonewall Attack,White,1. d4 d5 2. e3 Nf6 3. Bd3 c5 4. c3 Nc6 5. f4,,,,,70,0.6,0.043,0.357,41,0.488,0.073,0.439,,,,,0.004,282,0.008,127,0.001,1039,0.055,18
English Opening,White,1. c4,55847,0.507,0.036,0.457,101684,0.502,0.048,0.449,45706,0.486,0.087,0.427,0.026,38,1,1,0.04,25,1,1,0.06,17,1,1
Bird's Opening,White,1. f4,10519,0.483,0.038,0.48,32523,0.5,0.046,0.455,4900,0.481,0.068,0.451,0.005,200,1,1,0.013,77,1,1,0.006,167,1,1
Zukertort Opening,White,1. Nf3,52041,0.5,0.039,0.461,79693,0.51,0.048,0.442,66314,0.487,0.103,0.41,0.025,40,1,1,0.032,31,1,1,0.086,12,1,1
Reti Opening,White,1. Nf3 d5 2. c4,1418,0.547,0.029,0.424,5430,0.536,0.042,0.422,4915,0.499,0.1,0.401,0.002,530,0.404,2,0.007,150,0.347,3,0.023,43,0.29,3
King's Indian Attack,White,1. Nf3 d5 2. g3,3249,0.485,0.049,0.467,5941,0.519,0.051,0.43,6860,0.486,0.105,0.409,0.004,249,0.404,2,0.007,146,0.363,3,0.031,33,0.375,3
Nimzo-Larsen Attack,White,1. b3,19123,0.498,0.037,0.466,24831,0.494,0.044,0.461,12372,0.481,0.084,0.435,0.009,111,1,1,0.01,100,1,1,0.016,62,1,1
