Opening,Rating,Num. Games,White Wins,Draw,Black Wins,White Wins or Draws,Black Wins or Draws
King's Pawn Game,1200,1395946,0.503,0.039,0.458,0.5030.039,0.4580.039
King's Pawn Game,1800,1516185,0.492,0.045,0.463,0.4920.045,0.4630.045
King's Pawn Game,MASTERS,354961,0.475,0.086,0.439,0.4750.086,0.4390.086
Open Game,1200,794192,0.511,0.039,0.45,0.5110.039,0.450.039
Open Game,1800,493981,0.506,0.044,0.45,0.5060.044,0.450.044
Open Game,MASTERS,65521,0.475,0.089,0.436,0.4750.089,0.4360.089
Italian Game,1200,116499,0.52,0.035,0.445,0.520.035,0.4450.035
Italian Game,1800,93891,0.501,0.041,0.458,0.5010.041,0.4580.041
Italian Game,MASTERS,12583,0.469,0.082,0.449,0.4690.082,0.4490.082
Ruy Lopez,1200,75229,0.515,0.041,0.444,0.5150.041,0.4440.041
Ruy Lopez,1800,64378,0.509,0.046,0.445,0.5090.046,0.4450.046
Ruy Lopez,MASTERS,18496,0.469,0.096,0.435,0.4690.096,0.4350.096
Scotch Game,1200,50302,0.524,0.043,0.433,0.5240.043,0.4330.043
Scotch Game,1800,42703,0.515,0.048,0.437,0.5150.048,0.4370.048
Scotch Game,MASTERS,7173,0.475,0.095,0.43,0.4750.095,0.430.095
Scotch Gambit,1200,2131,0.536,0.024,0.44,0.5360.024,0.440.024
Scotch Gambit,1800,10583,0.537,0.04,0.424,0.5370.04,0.4240.04
Scotch Gambit,MASTERS,2595,0.471,0.097,0.432,0.4710.097,0.4320.097
Ponziani Opening,1200,7740,0.495,0.041,0.464,0.4950.041,0.4640.041
Ponziani Opening,1800,6246,0.512,0.043,0.445,0.5120.043,0.4450.043
Ponziani Opening,MASTERS,638,0.472,0.075,0.453,0.4720.075,0.4530.075
Center Game,1200,20854,0.439,0.046,0.515,0.4390.046,0.5150.046
Center Game,1800,5296,0.505,0.043,0.452,0.5050.043,0.4520.043
Center Game,MASTERS,681,0.482,0.076,0.442,0.4820.076,0.4420.076
Danish Gambit,1200,5893,0.549,0.026,0.425,0.5490.026,0.4250.026
Danish Gambit,1800,12173,0.55,0.039,0.411,0.550.039,0.4110.039
Danish Gambit,MASTERS,603,0.448,0.066,0.486,0.4480.066,0.4860.066
Vienna Game,1200,30292,0.492,0.043,0.465,0.4920.043,0.4650.043
Vienna Game,1800,19295,0.516,0.044,0.44,0.5160.044,0.440.044
Vienna Game,MASTERS,5436,0.493,0.09,0.417,0.4930.09,0.4170.09
Bishop's Opening,1200,74023,0.521,0.036,0.443,0.5210.036,0.4430.036
Bishop's Opening,1800,44895,0.503,0.045,0.452,0.5030.045,0.4520.045
Bishop's Opening,MASTERS,2382,0.498,0.068,0.434,0.4980.068,0.4340.068
King's Gambit,1200,26698,0.537,0.03,0.433,0.5370.03,0.4330.03
King's Gambit,1800,56373,0.505,0.035,0.46,0.5050.035,0.460.035
King's Gambit,MASTERS,2866,0.462,0.064,0.475,0.4620.064,0.4750.064
Four Knight's Game,1200,35396,0.502,0.043,0.456,0.5020.043,0.4560.043
Four Knight's Game,1800,14747,0.505,0.047,0.448,0.5050.047,0.4480.047
Four Knight's Game,MASTERS,4808,0.474,0.099,0.427,0.4740.099,0.4270.099
Halloween Gambit,1200,1040,0.529,0.035,0.436,0.5290.035,0.4360.035
Halloween Gambit,1800,654,0.543,0.035,0.422,0.5430.035,0.4220.035
Halloween Gambit,MASTERS,222,0.5,0.045,0.455,0.50.045,0.4550.045
Petrov's Defense,1200,49935,0.517,0.036,0.447,0.5170.036,0.4470.036
Petrov's Defense,1800,28404,0.497,0.047,0.457,0.4970.047,0.4570.047
Petrov's Defense,MASTERS,5824,0.468,0.107,0.424,0.4680.107,0.4240.107
Stafford Gambit,1200,1210,0.468,0.023,0.509,0.4680.023,0.5090.023
Stafford Gambit,1800,822,0.489,0.039,0.472,0.4890.039,0.4720.039
Stafford Gambit,MASTERS,442,0.505,0.081,0.414,0.5050.081,0.4140.081
Philidor Defense,1200,83138,0.511,0.041,0.448,0.5110.041,0.4480.041
Philidor Defense,1800,57507,0.512,0.046,0.442,0.5120.046,0.4420.046
Philidor Defense,MASTERS,2037,0.489,0.07,0.441,0.4890.07,0.4410.07
Elephant Gambit,1200,9124,0.524,0.035,0.441,0.5240.035,0.4410.035
Elephant Gambit,1800,5855,0.468,0.041,0.491,0.4680.041,0.4910.041
Elephant Gambit,MASTERS,1606,0.458,0.076,0.466,0.4580.076,0.4660.076
Latvian Gambit,1200,2961,0.51,0.026,0.465,0.510.026,0.4650.026
Latvian Gambit,1800,4299,0.473,0.04,0.488,0.4730.04,0.4880.04
Latvian Gambit,MASTERS,608,0.53,0.062,0.408,0.530.062,0.4080.062
Sicilian Defense,1200,186120,0.484,0.037,0.48,0.4840.037,0.480.037
Sicilian Defense,1800,404359,0.485,0.045,0.471,0.4850.045,0.4710.045
Sicilian Defense,MASTERS,132778,0.477,0.085,0.439,0.4770.085,0.4390.085
Scandinavian Defense,1200,130330,0.5,0.042,0.458,0.50.042,0.4580.042
Scandinavian Defense,1800,124152,0.484,0.047,0.469,0.4840.047,0.4690.047
Scandinavian Defense,MASTERS,17667,0.47,0.091,0.44,0.470.091,0.440.091
Caro-Kann Defense,1200,34996,0.487,0.036,0.477,0.4870.036,0.4770.036
Caro-Kann Defense,1800,105440,0.472,0.05,0.478,0.4720.05,0.4780.05
Caro-Kann Defense,MASTERS,43105,0.467,0.092,0.441,0.4670.092,0.4410.092
French Defense,1200,110003,0.486,0.038,0.476,0.4860.038,0.4760.038
French Defense,1800,188897,0.481,0.047,0.472,0.4810.047,0.4720.047
French Defense,MASTERS,43305,0.476,0.088,0.436,0.4760.088,0.4360.088
Alekhine's Defense,1200,18160,0.518,0.039,0.443,0.5180.039,0.4430.039
Alekhine's Defense,1800,27564,0.468,0.046,0.486,0.4680.046,0.4860.046
Alekhine's Defense,MASTERS,11875,0.467,0.086,0.447,0.4670.086,0.4470.086
Pirc Defense,1200,24738,0.504,0.041,0.455,0.5040.041,0.4550.041
Pirc Defense,1800,54115,0.486,0.043,0.471,0.4860.043,0.4710.043
Pirc Defense,MASTERS,17246,0.483,0.08,0.437,0.4830.08,0.4370.08
Modern Defense,1200,31767,0.488,0.04,0.472,0.4880.04,0.4720.04
